max_acc_mag,max_gyro_mag,max_jerk,pre_roll,post_roll,pre_pitch,post_pitch,delta_roll_window,delta_pitch_window
34.089584,4.384062,683.21985,-1.2175782,-0.6430645,0.7081641,0.3491573,0.5745137,-0.3590068
40.509506,5.409251,993.46313,-1.3246734,-0.6104422,0.7108538,0.5131981,0.7142312,-0.19765574
40.509506,5.409251,1011.91504,-0.3598251,-1.2920725,-0.24453971,-0.5479599,-0.9322474,-0.30342022
39.97049,6.309517,1011.91504,-0.8628276,-1.0895388,-0.49749097,0.11370431,-0.22671121,0.61119527
18.813026,7.300685,149.2944,0.10767269,-0.7690664,-0.0033324435,1.1672477,-0.8767391,1.1705801
18.877499,2.4020824,197.98618,-0.83025247,-1.2292997,1.1180826,1.3276433,-0.3990472,0.20956063
18.877499,2.7820857,197.98618,-0.9805193,-1.6818699,1.1777269,1.3924859,-0.70135057,0.21475899
14.444722,4.350862,87.330246,-0.298769,-1.1603987,1.3389666,1.2243803,-0.8616297,-0.11458635
14.444722,7.262231,81.127975,-0.8134736,0.10971304,1.2868844,1.2124362,0.9231866,-0.07444823
28.148712,8.759566,432.06387,0.3312233,-1.2292088,-0.0071588107,1.1707481,-1.5604322,1.1779069
28.148712,8.759566,432.06387,-0.5990974,-1.2573364,0.83492935,1.2286175,-0.658239,0.3936882
19.360527,2.918904,294.52682,-1.1241238,-0.9683242,1.2005068,1.1809858,0.15579963,-0.019520998
19.360527,1.7378147,219.36908,-1.3077823,-0.89352214,1.145977,1.1139494,0.41426015,-0.032027602
19.002632,2.1400933,168.51048,-1.2057229,-1.1373514,1.1995618,1.1207097,0.068371534,-0.07885218
17.45222,8.021222,208.29034,-0.008300888,-1.8794577,0.15846336,1.1992639,-1.8711568,1.0408006
15.116878,2.3853722,147.13808,-1.4877594,-1.3898143,1.1819637,1.1000745,0.097945094,-0.08188915
15.780367,3.386739,120.988106,-1.3805172,-1.2691118,1.2784157,1.2196745,0.11140549,-0.058741212
16.863274,4.422669,125.90251,-1.2524505,-1.2096512,1.2852674,1.2372177,0.042799234,-0.04804969
16.863274,4.422669,332.77237,-1.5878769,-1.8524125,1.1850026,1.1953542,-0.26453555,0.010351658
14.895301,4.253234,323.19614,0.43326646,-0.13338488,-0.047899727,1.1527185,-0.56665134,1.2006183
14.895301,4.0828915,184.73392,-0.13548836,-1.7961357,0.5550488,1.4195482,-1.6606473,0.86449933
14.816882,4.0828915,110.79953,-1.1021127,-1.1787856,1.4377033,1.3309249,-0.07667291,-0.10677838
14.816882,3.8183765,105.512,-0.23064713,-1.040395,1.4826275,1.3157641,-0.8097479,-0.16686344
15.57498,4.388622,121.81464,-1.8320658,-0.8701844,1.3522612,1.4022789,0.9618814,0.050017715
14.191195,6.3142695,291.34192,0.72486526,-1.3839364,0.08101441,1.1762512,-2.1088016,1.0952368
14.191195,5.9219933,81.02975,-1.2363809,-1.3695476,0.9856993,1.1465755,-0.13316667,0.16087615
13.027278,2.3345237,88.699585,-1.436547,-1.5982424,1.1425761,1.174656,-0.16169536,0.032079935
16.335545,3.6373067,119.866585,-1.3186804,-1.4448768,1.1377218,1.1317546,-0.12619638,-0.00596714
