acc_mag_peak,gyro_mag_peak
13.089691,1.5748016
13.412681,2.1400933
15.036622,2.1400933
19.346834,6.370243
19.346834,6.370243
21.828651,5.4184866
21.828651,5.969925
17.080399,5.969925
12.241732,3.4205265
10.34843,0.98994946
15.52192,4.172529
15.52192,4.172529
14.097872,2.5019991
15.487415,6.1326995
33.50612,4.834253
40.27468,7.432361
40.27468,7.432361
20.75259,6.309517
15.4858,7.0469856
15.4858,7.0469856
39.776375,7.1624017
39.776375,7.1624017
24.94494,5.877074
35.873665,12.049066
17.144386,5.903389
17.144386,4.592385
36.01694,8.8729925
36.01694,8.8729925
19.413914,9.082401
22.042233,11.249
20.453362,13.121357
20.453362,13.121357
38.98782,8.01561
15.906288,5.016971
15.906288,5.016971
12.303251,2.1
13.506664,2.1
43.003372,6.8007355
43.003372,10.194606
40.77818,10.194606
22.703524,3.9974992
13.464769,4.5177426
13.464769,2.842534
12.254794,4.532108
14.56331,4.6914816
31.231714,6.3757353
32.653484,8.281304
32.653484,8.281304
13.47813,4.7602525
12.784758,3.1064448
11.107655,3.4014702
14.339456,2.2671568
38.08228,6.1196404
13.112971,4.3703547
20.359518,6.6340036
37.159256,8.09753
37.159256,8.09753
13.579764,4.6195235
15.44992,6.328507
15.44992,6.328507
20.08706,7.2746134
40.703316,11.476062
40.703316,11.476062
14.70884,6.1595454
28.669497,4.659399
29.812246,4.796874
29.812246,4.796874
11.688457,0.61644137
14.453719,5.3160133
14.453719,5.3160133
38.292168,5.133225
38.292168,4.640043
29.522532,4.2731724
37.79696,9.102746
44.411034,12.654248
44.411034,12.654248
40.03661,12.5032
40.03661,12.5032
21.360008,7.441102
27.855698,10.456099
38.000526,10.704673
38.000526,10.704673
12.739309,5.3
12.739309,4.1725287
16.423763,4.3127713
46.996384,19.183586
46.996384,19.183586
46.964455,9.794896
17.408619,5.4120235
17.408619,5.4120235
22.740492,13.245377
22.740492,13.245377
17.962183,6.670832
30.035643,4.029888
30.035643,3.884585
20.737888,3.419064
12.912784,3.2817678
10.529008,2.823119
17.438463,8.296988
23.37734,5.2668777
23.37734,5.2668777
18.184883,4.763402
23.938879,7.066116
23.938879,9.236882
20.125607,9.236882
10.34698,0.8000001
22.111988,9.263908
22.111988,9.263908
21.41705,7.730459
14.451643,1.9209374
9.910601,0.17320508
10.164152,1.0099505
15.912574,7.6922035
35.867954,8.486459
44.37578,12.493598
44.37578,12.493598
17.018814,4.4743714
15.342424,5.8634467
19.839607,9.159148
30.72149,6.9491005
40.84042,17.985273
40.84042,17.985273
20.750662,5.8086143
27.31831,12.859238
27.31831,12.859238
23.055586,5.9548306
34.45127,9.033825
38.72583,19.440422
38.72583,19.440422
30.073576,8.272243
40.620193,12.455923
40.620193,12.455923
12.478381,6.6558247
30.699348,8.744142
35.39986,11.598707
35.39986,11.598707
30.864382,7.8147297
33.815678,13.894963
33.815678,13.894963
39.808037,9.792854
39.808037,10.536128
36.11551,10.536128
11.38903,1.6583123
15.979051,4.628175
32.2574,7.5828753
32.2574,7.5828753
14.534098,5.081339
11.8490505,1.9519222
35.10014,3.9370039
17.941294,6.0679483
31.396814,6.0679483
31.396814,5.937171
21.650635,5.558777
11.952406,3.5805027
19.795202,6.130253
36.317764,6.860029
36.317764,6.860029
28.951511,6.8014703
32.14996,10.936636
31.638111,11.595258
38.749577,14.999
38.749577,14.999
43.681232,9.202717
43.681232,14.683665
40.827076,14.683665
31.807861,9.660745
31.935715,10.907337
31.935715,10.907337
35.956364,13.358144
47.38333,13.358144
47.38333,11.498261
11.663619,2.4103942
13.670772,2.2113345
54.210884,11.827932
54.210884,14.554724
53.19502,14.554724
23.088741,9.115921
11.458185,7.1281133
16.296318,3.973663
17.59119,2.9291637
53.16512,14.243946
53.16512,14.243946
11.779219,6.670832
11.779219,6.670832
13.3764715,3.3852623
48.88609,27.338617
48.88609,27.338617
39.43463,16.529366
16.966438,5.1273775
45.461193,9.837174
45.461193,9.837174
20.56672,5.0089917
10.719142,2.0124612
22.926622,6.2297673
42.967545,15.493547
42.967545,15.493547
11.839764,2.879236
19.870079,5.1234756
18.449932,2.2
44.002956,9.731392
44.002956,9.731392
27.075634,3.7121422
10.1557865,1.9209373
12.133013,1.9209373
24.930502,1.5588458
46.348354,17.235428
46.348354,17.235428
11.729024,1.0049876
28.093771,8.835157
48.267174,18.265541
48.267174,18.265541
41.510723,20.991901
41.510723,14.845201
44.062,21.05089
44.062,21.05089
13.345786,1.118034
9.936296,0.099999994
9.982485,0.099999994
20.591501,9.824968
44.77332,15.721324
44.77332,15.721324
9.866105,0.099999994
9.843271,0.0
19.964468,6.712674
19.964468,6.712674
10.53423,3.1064448
10.082659,0.30000004
16.155184,6.122091
54.319057,14.956604
54.319057,14.956604
13.203409,2.1424284
10.805092,1.118034
15.75119,2.84605
15.75119,2.6038432
19.220821,6.786015
46.280018,10.609429
46.280018,10.609429
13.522204,2.0832667
9.887871,0.60827625
10.5019045,2.6095977
17.664087,8.185964
40.41646,12.721634
40.41646,12.721634
9.910097,0.099999994
10.187737,1.8138356
25.206549,10.234744
22.330473,15.0
42.008804,15.0
48.34015,16.588549
48.34015,16.588549
13.064838,3.2465367
13.064838,4.6658335
23.67277,4.6658335
28.140718,4.7010636
47.56848,18.00361
10.653169,0.964365
15.330361,10.279105
38.391926,10.279105
38.391926,9.889388
28.02481,3.9912403
13.55913,0.73484695
10.804165,0.73484695
10.765222,0.51961523
9.9252205,0.099999994
11.449018,1.0440307
12.092974,5.3376026
15.531259,5.72014
43.24731,21.674871
43.24731,21.674871
13.322912,3.6945906
15.096026,10.549408
18.693583,6.521503
44.53785,11.487819
44.53785,11.487819
13.845216,4.1158233
36.110943,12.139604
46.97169,12.139604
46.97169,6.6670833
16.418892,4.505552
10.5019045,1.5937377
11.609479,1.4071246
48.941696,21.851086
48.941696,21.851086
40.374496,7.10352
49.5309,10.5323305
10.774507,1.1357816
11.237883,0.8774964
52.339085,13.613963
52.339085,13.613963
14.629081,7.5392303
14.771933,7.5392303
12.037441,2.3790755
55.52981,15.646726
55.52981,15.646726
15.117538,2.0712314
54.760754,28.754131
54.760754,28.754131
11.393858,1.4696938
11.123849,1.0049876
55.569958,32.66604
55.569958,32.66604
56.803524,15.469325
56.803524,15.469325
10.290773,1.6278821
22.43056,3.5185223
22.43056,3.5185223
48.81004,14.568802
48.81004,14.568802
32.805183,5.3684263
17.598577,2.572936
17.598577,2.572936
44.052925,19.087692
44.052925,19.087692
16.667633,5.00999
16.088194,4.168933
39.812935,7.7980766
47.734787,10.670989
47.734787,10.670989
13.695984,5.523586
12.47758,3.8418741
10.401923,0.4690416
15.002,2.2737634
48.8554,9.913122
48.8554,9.913122
23.582409,3.6551332
30.918768,3.472751
30.918768,3.472751
31.796068,4.172529
31.796068,4.172529
23.948694,5.95399
40.092266,8.649855
40.092266,8.649855
22.378115,8.505879
10.794443,0.7
10.794443,0.48989797
10.340696,0.84852815
10.340696,0.84852815
12.114453,4.397727
56.83951,13.884163
56.83951,13.884163
10.51903,1.363818
13.703649,1.6763054
50.763763,19.279264
11.869709,1.17047
41.201214,5.4717455
41.201214,5.4717455
10.540398,0.8062258
49.38421,6.4730206
49.38421,6.4730206
10.07869,0.6708204
10.168579,0.50990194
10.887148,0.83666
36.34653,7.7627316
18.064606,3.7107952
15.357735,5.526301
15.357735,5.526301
21.006903,2.258318
40.3031,5.731492
40.3031,5.731492
42.463867,10.35664
42.463867,10.35664
12.928651,2.9137604
39.18329,11.280957
39.18329,11.280957
11.466037,2.6702058
40.96303,12.037441
40.96303,12.037441
11.22319,1.2727922
45.169018,9.601042
45.169018,9.601042
15.776565,1.4035668
42.25329,7.063285
42.25329,7.063285
10.384604,0.31622776
17.135052,1.4282857
52.222027,7.3136864
52.222027,7.3136864
10.5318575,0.509902
11.006362,2.7
14.054537,3.5411863
18.921152,20.226963
40.787865,20.226963
43.917194,16.721842
43.917194,16.721842
12.049897,4.0496917
11.707263,3.318132
11.993749,3.318132
11.993749,3.0643108
50.70079,9.304837
50.70079,9.304837
11.788979,3.51141
35.909054,7.624959
35.909054,7.624959
15.833193,2.3874671
49.299698,9.687621
49.299698,9.687621
12.459936,2.6324892
50.657772,14.861023
50.657772,14.861023
11.30177,1.8601075
49.945267,12.020399
49.945267,12.020399
15.872618,1.6155494
10.050373,0.20000002
19.419579,2.4596748
45.92265,9.937806
45.92265,9.937806
10.690651,1.0099505
10.721007,0.9433981
10.927946,0.5477225
10.927946,0.5477225
10.870143,0.5744563
10.700934,0.64031243
11.637011,0.9110434
40.480736,7.702597
40.480736,7.702597
43.77488,8.7189455
14.632156,5.2239833
52.014904,6.1081915
52.014904,6.1081915
42.359062,4.750789
43.74517,4.750789
43.74517,5.2706733
45.62565,6.9649115
45.62565,6.9649115
16.897633,3.685105
13.510736,2.9832869
34.65386,4.634652
34.65386,4.634652
34.9106,2.8861737
34.9106,3.3852623
34.97785,3.3852623
34.97785,3.8183768
26.436527,3.8183768
11.095044,2.1794493
11.275194,2.1794493
31.182688,3.4727511
19.988747,4.539824
39.97574,3.5284557
39.97574,3.9471512
38.641037,3.9471512
31.772,3.1400638
36.221817,3.471311
36.221817,3.471311
29.963144,4.892852
12.827313,1.2041595
26.913752,7.1979165
45.518127,12.717312
45.518127,12.717312
44.81049,9.394679
44.81049,9.394679
26.831324,5.5812182
25.255692,5.8830266
23.022596,5.8830266
24.69676,7.2429276
24.69676,7.2429276
37.10499,12.86468
11.17363,0.64031243
16.414932,11.033132
52.36487,11.033132
52.36487,8.011242
52.083588,8.011242
52.083588,10.798612
51.677464,10.798612
52.745235,8.532878
52.745235,8.532878
37.18212,6.8782268
37.39358,8.658523
37.82275,4.632494
42.87015,4.1629314
42.87015,4.1629314
32.48215,3.407345
32.48215,7.48131
26.230133,7.48131
12.658989,1.9442222
36.042892,7.920227
38.826538,7.920227
31.866282,3.748333
33.22198,2.6589472
33.22198,2.1400933
30.645555,1.9442221
28.478413,1.9339077
35.561356,2.302173
35.561356,2.302173
10.182829,0.6708204
41.083572,5.363767
41.083572,4.0620193
16.293865,3.528456
33.863697,5.8258047
33.863697,5.8258047
28.976374,4.926459
28.976374,4.926459
28.535065,4.2555847
28.535065,4.760252
26.491697,4.760252
26.809513,4.448595
28.997068,4.448595
25.33002,11.928537
27.395802,11.928537
30.758736,9.185315
30.758736,4.4732537
29.540817,5.1739736
29.752815,5.1739736
29.752815,9.2293005
15.18947,9.2293005
12.533954,2.2203603
10.758253,0.83066237
19.025772,5.8762236
40.279274,5.4295487
40.279274,4.4788384
39.335735,3.4684293
39.231876,3.9572718
39.085293,4.224926
16.686821,12.943724
14.138599,5.056679
40.87689,4.8518033
41.914318,4.940647
34.56617,6.9491005
34.56617,7.4632435
28.971193,7.4632435
28.971193,5.8830266
20.745361,5.1701064
18.267183,5.1701064
13.503333,3.1144822
10.666302,0.92736185
13.290976,2.1748564
36.626904,7.7530637
51.119667,7.314369
51.119667,4.9588304
41.353355,4.9588304
41.353355,4.6486554
45.033985,4.6411204
45.033985,3.722902
35.88328,3.3852623
31.64269,2.9034464
27.986782,3.891015
29.439598,5.046781
24.344608,5.6991224
25.745096,2.4718413
25.745096,2.3790755
22.294619,2.193171
24.03102,1.746425
24.03102,1.581139
20.67293,1.4899663
24.493673,1.7916473
24.493673,5.728874
21.559452,6.8337398
14.465476,6.9195375
35.492252,9.912114
36.231205,9.912114
36.231205,7.0128465
35.62148,5.821512
24.064495,7.0313587
13.45511,1.5033296
31.514124,8.623804
34.15919,8.623804
34.15919,6.0621777
11.799152,1.2083046
41.02609,5.8497868
41.02609,5.8497868
