run_id,protocol_id,feature_set,model_name,feature,importance
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,jerk_p95,0.1707279954370849
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_range,0.16036646689495312
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_max,0.13468803619922845
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,post_acc_mag_std,0.10356035590681778
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,gyro_mag_p95,0.09759401528815109
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_std,0.08617114735888567
FALLRED_RandomForest_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_p95,0.0498903067851311
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_range,0.18057277396801574
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_std,0.17765013953995554
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,jerk_std,0.16076899202702138
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_max,0.13560270936825847
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,post_acc_mag_std,0.11881267019366941
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,jerk_p95,0.09256110297318323
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_p95,0.07736988443078802
FALLRED_RandomForest_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,FallTop8_ImpactEnergy,RandomForest,gyro_mag_p95,0.056661727499108326
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_range,0.5428441203965907
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,jerk_std,0.3632990939567368
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_max,0.03933797457429466
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,gyro_mag_p95,0.031692329534936725
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_std,0.011702495506005793
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,post_acc_mag_std,0.0056316230127923935
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,jerk_p95,0.005492363018642987
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_p95,0.0
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_range,0.8520602991360322
FALLRED_TinyGB10_d2_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,TinyGB10_d2,acc_mag_std,0.06535706524376288
