variant,experiment_id,fall_f1,fall_precision,fall_recall,FP,direction_macro_f1,params_direction,fall_feature_count,avg_fall_f1,E7_fall_f1,E7_FP,avg_direction_macro_f1,E7_direction_macro_f1
FallReduced_TinyGB30_d2_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7031539888682746,0.7142857142857143,11.0,,
FallReduced_TinyGB30_d3_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.7339484938108928,0.7246376811594203,19.0,,
FallReduced_TinyGB30_d3_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8296955338526132,0.8301886792452831,6.0,,
FallReduced_TinyGB30_d3_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.6825798381773956,0.6578947368421053,26.0,,
FallReduced_TinyGB30_d3_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.8285708544329234,0.75,10.0,,
FallReduced_TinyGB30_d3_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7038194294592378,0.7058823529411765,8.0,,
FallReduced_TinyGB30_d3_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8305584104145255,0.8,8.0,,
FallReduced_TinyGB30_d3_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7407515640118757,0.7246376811594203,19.0,,
FallReduced_TinyGB30_d3_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7059171597633136,0.676923076923077,18.0,,
LightDir_D1_Tiny_DSConv_Direction_seed42_lr0.0005,E3/E6/E7_avg,,,,,,2947.0,,,,,0.8267008892825886,0.8773809523809524
LightDir_D1_Tiny_DSConv_Direction_seed42_lr0.001,E3/E6/E7_avg,,,,,,2947.0,,,,,0.8162919251670541,0.8846903583745688
