pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
D3_A5_Direction_Small_050_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.5621212121212121,0.8055555555555556,0.6111111111111112,0.8,0.25,0.6363636363636364,36
D3_A5_Direction_Small_050_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.5527777777777777,0.88,0.52,0.625,0.5333333333333333,0.5,25
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.5730579063912398,0.8524590163934426,0.6065573770491803,0.8518518518518519,0.2727272727272727,0.5945945945945946,61
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6174527227158806,0.8055555555555556,0.6388888888888888,0.8571428571428571,0.36363636363636365,0.631578947368421,36
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.5264930001772107,0.92,0.56,0.8421052631578947,0.18181818181818182,0.5555555555555556,25
D3_A5_Direction_Small_050_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.48188405797101447,0.96,0.56,0.6956521739130435,0.0,0.75,25
D3_A5_Direction_Small_050_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.518954248366013,0.6944444444444444,0.5277777777777778,0.8235294117647058,0.3333333333333333,0.4,36
D3_A5_Direction_Small_050_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.5681818181818182,0.8055555555555556,0.6111111111111112,0.7878787878787878,0.25,0.6666666666666666,36
D3_A5_Direction_Small_050_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.5056022408963585,0.88,0.48,0.5882352941176471,0.42857142857142855,0.5,25
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.685855923951162,0.8524590163934426,0.6557377049180327,0.8163265306122449,0.5925925925925926,0.6486486486486487,61
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6300653594771242,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.4,0.6666666666666666,36
D3_A5_Direction_Small_050_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.7102941176470589,0.92,0.68,0.8,0.7058823529411765,0.625,25
D3_A5_Direction_Small_050_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.47771836007130125,0.96,0.56,0.7272727272727273,0.0,0.7058823529411765,25
D3_A5_Direction_Small_050_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.5187257187257187,0.6944444444444444,0.5277777777777778,0.8484848484848485,0.3076923076923077,0.4,36
D4_A5_Direction_Small_025_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.6300653594771242,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.4,0.6666666666666666,36
D4_A5_Direction_Small_025_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.6285200179937022,0.88,0.6,0.5333333333333333,0.7368421052631579,0.6153846153846154,25
D4_A5_Direction_Small_025_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.5626834381551363,0.8524590163934426,0.5573770491803278,0.7547169811320755,0.5333333333333333,0.4,61
D4_A5_Direction_Small_025_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.562962962962963,0.8055555555555556,0.5833333333333334,0.8,0.3333333333333333,0.5555555555555556,36
